"ASV","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV14611","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Unclassified"
"ASV14694","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Soehngenia"
"ASV14695","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Jeotgalicoccus"
"ASV14696","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Trichococcus"
"ASV14708","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Unclassified"
"ASV14711","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Myroides"
"ASV14867","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified"
"ASV14967","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV14972","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV15046","Bacteria","Proteobacteria","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV15048","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Tissierella"
"ASV15051","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Unclassified"
"ASV15069","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Enteractinococcus"
"ASV15070","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified"
"ASV15071","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"ASV15245","Bacteria","Bacteroidetes","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV15246","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Gracilibacillus"
"ASV15247","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_IV"
"ASV15248","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified"
"ASV15335","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Unclassified"
"ASV15411","Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified","Unclassified"
"ASV15412","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unclassified","Unclassified"
"ASV15434","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Ignatzschineria"
"ASV15534","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Aeromicrobium"
"ASV15628","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Yaniella"
"ASV15630","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unclassified","Unclassified"
"ASV15631","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XII","Guggenheimella"
"ASV15856","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Unclassified","Unclassified"
"ASV15875","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Paenochrobactrum"
"ASV16087","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma"
"ASV16114","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Unclassified"
"ASV16305","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Rhodothermaceae","Rubrivirga"
"ASV16330","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Myroides"
"ASV16331","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Unclassified"
"ASV16332","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV16579","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified"
"ASV16667","Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified","Unclassified"
"ASV16774","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV16775","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Unclassified","Unclassified"
"ASV16810","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Rhodothermaceae","Salisaeta"
"ASV17039","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"ASV17040","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Wohlfahrtiimonas"
"ASV17041","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV17113","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae","Geofilum"
"ASV17289","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV17290","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV17352","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Unclassified"
"ASV17551","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Paraliobacillus"
"ASV17552","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acetanaerobacterium"
"ASV17553","Bacteria","Firmicutes","Clostridia","Unclassified","Unclassified","Unclassified"
"ASV17555","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Unclassified"
"ASV17725","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas"
"ASV17730","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unclassified","Unclassified"
"ASV17899","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Unclassified"
"ASV17900","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Ignatzschineria"
"ASV17901","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Thiopseudomonas"
"ASV18030","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unclassified","Unclassified"
"ASV18031","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Gemmiger"
"ASV18032","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV18157","Bacteria","Cloacimonetes","Candidatus_Cloacamonas","Unclassified","Unclassified","Unclassified"
"ASV18194","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Ammoniibacillus"
"ASV18198","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Wohlfahrtiimonas"
"ASV18199","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix"
"ASV18200","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV18319","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"ASV18444","Bacteria","Firmicutes","Clostridia","Unclassified","Unclassified","Unclassified"
"ASV18445","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Petrimonas"
"ASV18490","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","Elusimicrobium"
"ASV18491","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Lentibacillus"
"ASV18492","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Ignatzschineria"
"ASV18808","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Thiomicrospira"
"ASV18809","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Clostridium_XII"
"ASV18856","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma"
"ASV19007","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum"
"ASV19136","Bacteria","Proteobacteria","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV19137","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Tissierella"
"ASV19181","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Rhizocola"
"ASV19194","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"ASV19349","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Unclassified"
"ASV19504","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Lentibacillus"
"ASV19505","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fastidiosipila"
"ASV19741","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_IV"
"ASV19743","Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified","Unclassified"
"ASV19744","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Globicatella"
"ASV19868","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Tissierella"
"ASV19870","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Cerasibacillus"
"ASV19872","Bacteria","Firmicutes","Clostridia","Unclassified","Unclassified","Unclassified"
"ASV19873","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Halothiobacillaceae","Unclassified"
"ASV19946","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV19948","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Unclassified","Unclassified"
"ASV19951","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV20135","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella"
"ASV20143","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"ASV20144","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Unclassified"
"ASV20301","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"ASV20361","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV20554","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV20562","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Unclassified"
"ASV20735","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Unclassified"
"ASV20739","Bacteria","Proteobacteria","Gammaproteobacteria","Unclassified","Unclassified","Unclassified"
"ASV20740","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_2","Ammoniphilus"
"ASV20804","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV20809","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"ASV21012","Archaea","Euryarchaeota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccus"
"ASV21024","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified"
"ASV21187","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Lentibacillus"
"ASV21272","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Aquamicrobium"
"ASV21273","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus"
"ASV21478","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVb"
"ASV21489","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Gallibacterium"
"ASV21667","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Sinibacillus"
"ASV21669","Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified","Unclassified"
